iter	Poisson
0	0.5455308991
1	0.5246477774
2	0.5052659066
3	0.4872212991
4	0.4703783246
5	0.4546459352
6	0.4399061794
7	0.4262829003
8	0.4134792738
9	0.4015516925
10	0.390313993
11	0.3799353724
12	0.3702054297
13	0.3612345337
14	0.3526736953
15	0.3445953902
16	0.3371287438
17	0.3300669393
18	0.3234178591
19	0.3171845519
20	0.3113208374
21	0.3058636076
22	0.3006873896
23	0.2957959149
24	0.2911704538
25	0.2867960339
26	0.2826608464
27	0.2787413055
28	0.275097216
29	0.271670098
30	0.2683565212
31	0.2653976286
32	0.2624431495
33	0.2597293289
34	0.2571477244
35	0.254711679
36	0.2523526753
37	0.2501780994
38	0.248043411
39	0.2460726573
40	0.2441915827
41	0.2424198917
42	0.2407512411
43	0.2392252984
44	0.2376351618
45	0.2361110525
46	0.2346919774
47	0.2333802919
48	0.2320660159
49	0.2308392546
50	0.2297535927
51	0.2286379096
52	0.2275685447
53	0.2265750733
54	0.2256717195
55	0.224794529
56	0.2239590902
57	0.2231385575
58	0.2223650716
59	0.2216123265
60	0.2209007604
61	0.22029737
62	0.2196392217
63	0.2190080656
64	0.218410927
65	0.2178539288
66	0.2173190573
67	0.2167803536
68	0.2163065432
69	0.215796989
70	0.2153531084
71	0.2149502396
72	0.2144970444
73	0.2141594464
74	0.2137795888
75	0.2134164084
76	0.2131048726
77	0.2127523959
78	0.2124856946
79	0.2121683658
80	0.2119252266
81	0.2116072918
82	0.2113058941
83	0.2110947292
84	0.2108423642
85	0.2105919893
86	0.2103626505
87	0.2101752079
88	0.2099371232
89	0.2097290577
90	0.2095585339
91	0.2093426089
92	0.2091480894
93	0.2089714316
94	0.2088314019
95	0.2086588353
96	0.2085064306
97	0.2083292507
98	0.2081749028
99	0.2080330163
100	0.2079013351
101	0.2077691776
102	0.2076811552
103	0.2075401702
104	0.2074178291
105	0.2072951733
106	0.207171282
107	0.2070496284
108	0.2069623999
109	0.2068466646
110	0.2067484693
111	0.2066755398
112	0.2066142493
113	0.2065516753
114	0.2064345766
115	0.206352928
116	0.2063045209
117	0.2062598493
118	0.2061938322
119	0.2061109666
120	0.2060306443
121	0.2059861971
122	0.2058912478
123	0.2058041682
124	0.2057185768
125	0.2056410335
126	0.2055585507
127	0.2054815855
128	0.2054418889
129	0.2053651512
130	0.2052947659
131	0.2052257792
132	0.2051692888
133	0.205114284
134	0.2050634402
135	0.2049970311
136	0.2049424352
137	0.2048810874
138	0.2048312287
139	0.2047788348
140	0.2047634974
141	0.2047041378
142	0.2046318088
143	0.2045777376
144	0.2045310771
145	0.2044759228
146	0.2044357386
147	0.2043861126
148	0.2043366006
149	0.2042883244
150	0.204242534
151	0.2042006489
152	0.2041570435
153	0.2041083124
154	0.2040800935
155	0.204072604
156	0.2040359032
157	0.2040290531
158	0.2039865569
159	0.2039617504
160	0.2039270456
161	0.2039034809
162	0.2038957295
163	0.2038573384
164	0.2038244042
165	0.2037842505
166	0.203745476
167	0.2037175592
168	0.2036868016
169	0.2036611983
170	0.2036326141
171	0.2036197327
172	0.2035947201
173	0.2035634073
174	0.2035373642
175	0.2035344593
176	0.2034944996
177	0.2034671689
