iter	Passed	Remaining
0	109	65646
1	210	62829
2	319	63530
3	429	63924
4	544	64854
5	651	64528
6	758	64265
7	865	64072
8	974	63994
9	1086	64078
10	1195	64036
11	1306	64025
12	1411	63752
13	1515	63414
14	1613	62912
15	1718	62738
16	1824	62585
17	1927	62334
18	2036	62278
19	2139	62050
20	2243	61844
21	2347	61672
22	2452	61522
23	2564	61537
24	2665	61295
25	2777	61316
26	2879	61106
27	2986	61004
28	3099	61031
29	3210	60991
30	3315	60849
31	3417	60665
32	3492	60011
33	3599	59916
34	3707	59847
35	3819	59844
36	3930	59808
37	4008	59281
38	4118	59240
39	4230	59230
40	4345	59248
41	4460	59262
42	4539	58801
43	4639	58625
44	4744	58514
45	4812	57962
46	4913	57809
47	5019	57723
48	5121	57594
49	5230	57536
50	5338	57464
51	5444	57376
52	5550	57282
53	5671	57344
54	5777	57254
55	5892	57238
56	5997	57131
57	6112	57122
58	6214	56985
59	6317	56858
60	6421	56743
61	6524	56615
62	6624	56467
63	6732	56386
64	6821	56144
65	6921	56002
66	7029	55923
67	7086	55438
68	7193	55360
69	7288	55188
70	7393	55086
71	7510	55077
72	7622	55027
73	7707	54787
74	7748	54242
75	7851	54135
76	7948	53984
77	8060	53945
78	8106	53464
79	8213	53389
80	8317	53293
81	8359	52805
82	8468	52746
83	8571	52651
84	8641	52358
85	8718	52107
86	8821	52015
87	8920	51902
88	9031	51855
89	9147	51835
90	9249	51737
91	9358	51674
92	9470	51631
93	9570	51515
94	9675	51432
95	9786	51377
96	9888	51275
97	9992	51188
98	10104	51136
99	10212	51061
100	10291	50844
101	10398	50770
102	10499	50661
103	10542	50278
104	10623	50082
105	10667	49712
106	10764	49596
107	10824	49310
108	10923	49205
109	11028	49125
110	11137	49063
111	11244	48994
112	11347	48906
113	11464	48873
114	11515	48563
115	11616	48470
116	11711	48347
117	11817	48271
118	11920	48183
119	12033	48135
120	12141	48062
121	12238	47951
122	12342	47863
123	12445	47773
124	12549	47688
125	12650	47589
126	12755	47505
127	12792	47173
128	12841	46884
129	12952	46827
130	13061	46762
131	13153	46636
132	13258	46554
133	13366	46483
134	13437	46285
135	13541	46198
136	13634	46077
137	13739	45998
138	13841	45907
139	13941	45806
140	14051	45742
141	14165	45688
142	14267	45597
143	14376	45524
144	14477	45428
145	14577	45329
146	14682	45244
147	14765	45095
148	14859	44976
149	14964	44892
150	15071	44816
151	15178	44736
152	15282	44649
153	15389	44568
154	15501	44503
155	15608	44424
156	15724	44368
157	15818	44251
158	15930	44185
159	16042	44116
160	16123	43964
161	16229	43879
162	16332	43788
163	16440	43708
164	16551	43634
165	16670	43585
166	16759	43454
167	16862	43361
168	16967	43271
169	17082	43209
170	17193	43133
171	17304	43060
172	17347	42816
173	17466	42762
174	17674	42923
175	17912	43153
176	18048	43133
177	18188	43122
178	18328	43107
179	18455	43063
180	18600	43059
181	18656	42848
182	18768	42766
183	18880	42685
184	19003	42629
185	19134	42589
186	19272	42564
187	19397	42509
188	19516	42439
189	19649	42401
190	19779	42356
191	19912	42313
192	20027	42233
193	20142	42154
194	20265	42089
195	20392	42033
196	20486	41907
197	20596	41816
198	20735	41783
199	20794	41588
200	20903	41495
201	21017	41410
202	21137	41337
203	21264	41279
204	21384	41203
205	21526	41172
206	21652	41108
207	21782	41051
208	21897	40965
209	22016	40887
210	22141	40819
211	22266	40752
212	22388	40677
213	22498	40582
214	22616	40499
215	22758	40459
216	22879	40381
217	23006	40314
218	23132	40243
219	23259	40174
220	23367	40074
221	23496	40008
222	23611	39916
223	23729	39831
224	23844	39740
225	23913	39573
226	24034	39493
227	24145	39395
228	24257	39299
229	24359	39187
230	24478	39101
231	24584	38995
232	24678	38871
233	24782	38763
234	24854	38603
235	24968	38510
236	25092	38432
237	25212	38349
238	25321	38247
239	25436	38154
240	25548	38057
241	25662	37963
242	25777	37869
243	25911	37805
244	26031	37719
245	26152	37634
246	26224	37479
247	26347	37395
248	26458	37297
249	26574	37204
250	26686	37105
251	26799	37009
252	26911	36910
253	27038	36831
254	27156	36740
255	27288	36669
256	27396	36563
257	27520	36480
258	27641	36392
259	27764	36306
260	27875	36205
261	27963	36075
262	28089	35993
263	28203	35895
264	28313	35793
265	28437	35707
266	28552	35610
267	28667	35513
268	28781	35415
269	28903	35325
270	29016	35226
271	29130	35128
272	29245	35030
273	29356	34927
274	29479	34839
275	29598	34746
276	29713	34648
277	29826	34546
278	29940	34447
279	30064	34359
280	30190	34272
281	30315	34185
282	30430	34086
283	30544	33986
284	30666	33894
285	30774	33787
286	30883	33681
287	31015	33600
288	31103	33471
289	31219	33372
290	31325	33263
291	31440	33163
292	31555	33062
293	31660	32952
294	31781	32858
295	31890	32752
296	31994	32640
297	32116	32547
298	32181	32396
299	32290	32290
300	32411	32195
301	32534	32103
302	32642	31996
303	32752	31890
304	32864	31786
305	32978	31684
306	33099	31589
307	33198	31473
308	33304	31364
309	33424	31268
310	33534	31162
311	33656	31067
312	33759	30954
313	33869	30849
314	33983	30746
315	34092	30640
316	34208	30539
317	34314	30429
318	34418	30318
319	34519	30204
320	34625	30094
321	34740	29993
322	34827	29867
323	34934	29759
324	35041	29650
325	35158	29550
326	35262	29438
327	35368	29329
328	35434	29188
329	35545	29082
330	35660	28980
331	35760	28866
332	35877	28766
333	35990	28663
334	36108	28563
335	36222	28460
336	36330	28353
337	36443	28249
338	36557	28145
339	36669	28041
340	36791	27944
341	36907	27842
342	37012	27732
343	37127	27629
344	37179	27480
345	37247	27343
346	37360	27239
347	37468	27132
348	37585	27031
349	37719	26942
350	37820	26830
351	37929	26723
352	38048	26623
353	38145	26507
354	38254	26401
355	38371	26299
356	38473	26187
357	38602	26094
358	38707	25984
359	38813	25875
360	38939	25779
361	39053	25676
362	39163	25569
363	39273	25463
364	39383	25356
365	39486	25245
366	39601	25141
367	39709	25034
368	39834	24937
369	39940	24827
370	40064	24729
371	40135	24599
372	40243	24491
373	40346	24380
374	40458	24274
375	40564	24166
376	40672	24058
377	40781	23950
378	40895	23846
379	41016	23746
380	41121	23636
381	41226	23527
382	41333	23418
383	41432	23306
384	41544	23200
385	41655	23093
386	41748	22978
387	41835	22858
388	41946	22752
389	42062	22648
390	42175	22543
391	42278	22433
392	42383	22323
393	42482	22211
394	42603	22110
395	42718	22006
396	42859	21915
397	42991	21819
398	43108	21716
399	43224	21612
400	43324	21500
401	43432	21392
402	43535	21281
403	43652	21178
404	43746	21063
405	43836	20946
406	43933	20833
407	43995	20703
408	44121	20604
409	44302	20530
410	44499	20463
411	44656	20377
412	44754	20264
413	44846	20148
414	44919	20024
415	45019	19912
416	45122	19802
417	45211	19685
418	45307	19571
419	45406	19459
420	45500	19345
421	45620	19242
422	45726	19133
423	45843	19029
424	45955	18922
425	46069	18817
426	46178	18709
427	46261	18591
428	46397	18494
429	46518	18391
430	46679	18303
431	46854	18221
432	46976	18117
433	47104	18016
434	47236	17917
435	47347	17809
436	47468	17705
437	47590	17601
438	47709	17496
439	47825	17391
440	47939	17284
441	48054	17177
442	48172	17072
443	48228	16945
444	48349	16840
445	48476	16738
446	48533	16612
447	48659	16509
448	48789	16407
449	48905	16301
450	49056	16207
451	49201	16110
452	49327	16006
453	49472	15909
454	49592	15804
455	49724	15702
456	49828	15591
457	49948	15486
458	50067	15380
459	50187	15274
460	50305	15167
461	50430	15063
462	50551	14957
463	50684	14855
464	50796	14747
465	50925	14643
466	50991	14522
467	51111	14416
468	51224	14307
469	51334	14198
470	51455	14092
471	51583	13988
472	51701	13881
473	51802	13770
474	51927	13665
475	52063	13562
476	52167	13452
477	52290	13346
478	52415	13240
479	52532	13133
480	52642	13023
481	52749	12913
482	52855	12803
483	52974	12696
484	53100	12590
485	53152	12467
486	53264	12359
487	53365	12247
488	53474	12138
489	53584	12029
490	53694	11919
491	53786	11806
492	53885	11695
493	53942	11574
494	54058	11467
495	54122	11348
496	54216	11236
497	54368	11135
498	54511	11033
499	54625	10925
500	54732	10815
501	54856	10708
502	54995	10605
503	55130	10501
504	55264	10396
505	55397	10291
506	55516	10183
507	55649	10078
508	55763	9969
509	55886	9862
510	56030	9758
511	56147	9650
512	56241	9538
513	56365	9430
514	56495	9324
515	56620	9217
516	56746	9110
517	56860	9001
518	56981	8893
519	57095	8783
520	57242	8679
521	57367	8572
522	57490	8464
523	57604	8354
524	57716	8245
525	57831	8135
526	57954	8027
527	58067	7918
528	58171	7807
529	58292	7698
530	58416	7590
531	58561	7485
532	58677	7375
533	58797	7267
534	58929	7159
535	59029	7048
536	59149	6939
537	59264	6829
538	59399	6722
539	59517	6613
540	59627	6502
541	59757	6394
542	59876	6285
543	59963	6172
544	60071	6062
545	60179	5951
546	60299	5842
547	60413	5732
548	60523	5622
549	60650	5513
550	60748	5402
551	60860	5292
552	60978	5182
553	61098	5073
554	61207	4962
555	61339	4854
556	61452	4744
557	61574	4634
558	61686	4524
559	61813	4415
560	61926	4305
561	62040	4194
562	62156	4084
563	62284	3975
564	62403	3865
565	62509	3755
566	62622	3644
567	62746	3534
568	62853	3424
569	62966	3314
570	63076	3203
571	63182	3092
572	63295	2982
573	63404	2871
574	63524	2761
575	63639	2651
576	63752	2541
577	63888	2431
578	64002	2321
579	64130	2211
580	64248	2101
581	64360	1990
582	64485	1880
583	64596	1769
584	64711	1659
585	64843	1549
586	64960	1438
587	65068	1327
588	65179	1217
589	65284	1106
590	65403	995
591	65513	885
592	65555	773
593	65678	663
594	65800	552
595	65960	442
596	66074	332
597	66195	221
598	66321	110
599	66439	0
