iter	Passed	Remaining
0	114	68829
1	244	73072
2	362	72040
3	453	67543
4	573	68255
5	694	68730
6	825	69958
7	961	71125
8	1082	71053
9	1216	71799
10	1347	72142
11	1477	72401
12	1573	71046
13	1706	71424
14	1844	71948
15	1977	72165
16	2101	72069
17	2221	71828
18	2346	71741
19	2465	71489
20	2584	71269
21	2709	71191
22	2834	71114
23	2954	70919
24	3079	70838
25	3201	70684
26	3342	70943
27	3462	70732
28	3592	70738
29	3723	70745
30	3844	70566
31	3967	70415
32	4091	70306
33	4236	70525
34	4364	70454
35	4492	70383
36	4619	70287
37	4753	70300
38	4844	69691
39	4975	69661
40	5107	69639
41	5243	69667
42	5373	69609
43	5502	69528
44	5654	69741
45	5778	69598
46	5922	69683
47	6044	69514
48	6174	69436
49	6297	69267
50	6413	69036
51	6493	68433
52	6615	68272
53	6734	68096
54	6861	67994
55	6953	67544
56	7079	67440
57	7201	67299
58	7314	67068
59	7429	66869
60	7561	66816
61	7681	66653
62	7809	66566
63	7945	66540
64	8089	66580
65	8231	66601
66	8361	66516
67	8507	66558
68	8640	66497
69	8705	65914
70	8850	65941
71	8988	65915
72	9127	65892
73	9251	65760
74	9379	65653
75	9507	65548
76	9631	65419
77	9771	65393
78	9910	65361
79	10030	65201
80	10130	64909
81	10262	64829
82	10389	64714
83	10516	64599
84	10631	64413
85	10742	64207
86	10864	64063
87	11011	64069
88	11146	63999
89	11271	63873
90	11407	63808
91	11536	63701
92	11622	63360
93	11748	63240
94	11868	63089
95	11989	62947
96	12114	62818
97	12242	62713
98	12320	62346
99	12410	62053
100	12501	61764
101	12626	61646
102	12764	61591
103	12842	61246
104	12968	61137
105	13111	61105
106	13233	60974
107	13356	60844
108	13474	60698
109	13622	60680
110	13766	60645
111	13909	60604
112	14065	60616
113	14208	60575
114	14262	60149
115	14396	60069
116	14540	60028
117	14696	60032
118	14830	59945
119	14978	59913
120	15113	59830
121	15240	59712
122	15367	59597
123	15499	59497
124	15631	59401
125	15757	59279
126	15806	58870
127	15935	58761
128	16062	58646
129	16194	58550
130	16343	58513
131	16468	58388
132	16598	58280
133	16731	58187
134	16860	58075
135	16999	57998
136	17151	57965
137	17292	57893
138	17413	57751
139	17465	57385
140	17590	57262
141	17737	57209
142	17866	57098
143	17976	56926
144	18104	56811
145	18237	56709
146	18362	56587
147	18481	56441
148	18621	56364
149	18791	56374
150	18926	56279
151	19050	56149
152	19180	56036
153	19318	55948
154	19448	55835
155	19591	55760
156	19713	55625
157	19841	55506
158	19973	55398
159	20105	55290
160	20226	55153
161	20343	55003
162	20462	54860
163	20588	54736
164	20710	54599
165	20835	54474
166	20954	54330
167	21082	54212
168	21201	54069
169	21306	53892
170	21428	53760
171	21543	53608
172	21657	53455
173	21774	53310
174	21906	53200
175	22032	53078
176	22156	52949
177	22293	52853
178	22419	52729
179	22557	52634
180	22687	52520
181	22734	52213
182	22859	52090
183	22990	51978
184	23116	51856
185	23235	51718
186	23353	51576
187	23498	51495
188	23639	51407
189	23769	51291
190	23893	51164
191	24023	51048
192	24156	50942
193	24277	50807
194	24409	50697
195	24534	50570
196	24666	50460
197	24782	50316
198	24915	50207
199	25030	50061
200	25137	49899
201	25275	49799
202	25399	49672
203	25536	49569
204	25677	49475
205	25797	49341
206	25912	49195
207	26053	49101
208	26186	48989
209	26322	48884
210	26446	48756
211	26565	48619
212	26688	48490
213	26812	48363
