iter	Passed	Remaining
0	130	77988
1	249	74518
2	377	75065
3	515	76735
4	645	76787
5	781	77331
6	909	77048
7	1055	78084
8	1190	78171
9	1341	79158
10	1483	79447
11	1630	79871
12	1760	79471
13	1894	79305
14	2023	78904
15	2179	79561
16	2321	79603
17	2451	79280
18	2595	79365
19	2733	79262
20	2829	78015
21	2975	78171
22	3096	77690
23	3230	77523
24	3360	77291
25	3498	77238
26	3642	77291
27	3772	77070
28	3901	76818
29	4033	76643
30	4174	76625
31	4288	76115
32	4420	75958
33	4543	75639
34	4685	75631
35	4817	75478
36	4945	75250
37	5069	74968
38	5199	74796
39	5332	74655
40	5465	74517
41	5611	74548
42	5746	74443
43	5849	73918
44	5986	73830
45	6133	73869
46	6264	73705
47	6397	73568
48	6553	73688
49	6684	73528
50	6814	73351
51	6944	73181
52	7087	73144
53	7224	73048
54	7361	72943
55	7499	72851
56	7637	72755
57	7772	72636
58	7897	72413
59	8023	72213
60	8151	72028
61	8287	71911
62	8385	71473
63	8522	71373
64	8674	71399
65	8818	71351
66	8944	71158
67	9051	70812
68	9187	70706
69	9250	70037
70	9314	69402
71	9441	69238
72	9581	69173
73	9716	69065
74	9857	68999
75	9989	68876
76	10051	68269
77	10183	68150
78	10262	67678
79	10394	67566
80	10525	67441
81	10586	66873
82	10727	66820
83	10861	66721
84	10994	66616
85	11112	66419
86	11249	66334
87	11382	66224
88	11513	66106
89	11644	65986
90	11793	65967
91	11921	65829
92	12062	65757
93	12185	65596
94	12315	65467
95	12452	65377
96	12591	65292
97	12727	65196
98	12794	64747
99	12939	64697
100	13073	64592
101	13144	64175
102	13273	64045
103	13330	63576
104	13461	63460
105	13610	63429
106	13752	63362
107	13877	63219
108	14021	63163
109	14159	63072
110	14277	62900
111	14414	62805
112	14548	62699
113	14692	62634
114	14769	62290
115	14835	61899
116	14956	61742
117	15097	61668
118	15241	61605
119	15415	61662
120	15586	61702
121	15727	61621
122	15911	61706
123	16077	61716
124	16252	61758
125	16308	61351
126	16454	61284
127	16611	61254
128	16757	61185
129	16907	61127
130	17045	61026
131	17190	60948
132	17339	60882
133	17487	60816
134	17637	60750
135	17781	60666
136	17908	60522
137	18058	60456
138	18181	60300
139	18353	60304
140	18519	60285
141	18689	60279
142	18845	60225
143	19000	60166
144	19156	60111
145	19299	60013
146	19458	59964
147	19555	59723
148	19721	59693
149	19873	59619
150	20025	59546
151	20174	59461
152	20324	59379
153	20450	59227
154	20608	59165
155	20778	59139
156	20934	59070
157	21096	59017
158	21256	58957
159	21414	58890
160	21560	58789
161	21699	58669
162	21839	58550
163	21973	58417
164	22112	58297
165	22248	58168
166	22400	58081
167	22542	57965
168	22698	57887
169	22830	57746
170	22964	57612
171	23143	57588
172	23298	57504
173	23455	57426
174	23620	57364
175	23801	57339
176	23951	57240
177	24125	57196
178	24289	57128
179	24444	57036
180	24600	56947
181	24762	56872
182	24913	56770
183	25089	56724
184	25242	56625
185	25427	56595
186	25597	56533
187	25786	56509
188	25944	56417
189	26114	56352
190	26273	56261
191	26447	56201
192	26595	56085
193	26784	56053
194	26947	55968
195	27101	55861
196	27264	55775
197	27415	55660
198	27565	55546
199	27734	55469
200	27893	55370
201	28054	55276
202	28195	55141
203	28348	55028
204	28493	54901
205	28639	54776
206	28806	54690
207	28945	54550
208	29098	54438
209	29252	54325
210	29422	54242
211	29601	54176
212	29780	54108
213	29962	54043
214	30128	53951
215	30270	53814
216	30416	53684
217	30569	53565
218	30725	53453
219	30886	53350
220	31052	53253
221	31189	53105
222	31329	52965
223	31500	52876
224	31649	52748
225	31805	52634
226	31960	52517
227	32093	52362
228	32238	52228
229	32389	52105
230	32523	51953
231	32684	51844
232	32836	51720
233	32989	51598
234	33148	51485
235	33296	51355
236	33457	51244
237	33592	51094
238	33734	50954
239	33869	50804
240	34012	50665
241	34108	50457
242	34246	50312
