iter	Passed	Remaining
0	196	117467
1	404	120833
2	612	121871
3	788	117480
4	1012	120536
5	1209	119730
6	1419	120261
7	1636	121074
8	1863	122362
9	2083	122904
10	2327	124610
11	2580	126460
12	2753	124341
13	2972	124423
14	3186	124286
15	3395	123949
16	3618	124109
17	3837	124067
18	4050	123845
19	4260	123552
20	4480	123532
21	4693	123301
22	4920	123448
23	5141	123389
24	5346	122979
25	5568	122940
26	5781	122692
27	5993	122438
28	6205	122184
29	6422	122034
30	6634	121777
31	6837	121359
32	7049	121131
33	7298	121496
34	7531	121576
35	7749	121401
36	7984	121496
37	8219	121568
38	8403	120875
39	8635	120896
40	8863	120840
41	9093	120816
42	9340	120987
43	9563	120846
44	9823	121156
45	10053	121084
46	10289	121064
47	10534	121149
48	10772	121137
49	11001	121018
50	11236	120954
51	11410	120249
52	11637	120109
53	11878	120100
54	12131	120210
55	12313	119620
56	12558	119634
57	12802	119639
58	13008	119284
59	13241	119176
60	13476	119078
61	13697	118859
62	13929	118728
63	14154	118543
64	14409	118597
65	14654	118565
66	14892	118473
67	15134	118403
68	15372	118303
69	15507	117410
70	15756	117396
71	15995	117303
72	16222	117113
73	16424	116745
74	16657	116600
75	16888	116442
76	17109	116211
77	17352	116125
78	17603	116096
79	17821	115842
80	18009	115391
81	18223	115118
82	18466	115029
83	18707	114918
84	18930	114698
85	19140	114396
86	19379	114272
87	19627	114198
88	19853	113987
89	20080	113791
90	20327	113700
91	20570	113583
92	20733	113030
93	20960	112828
94	21181	112594
95	21410	112406
96	21637	112205
97	21865	112005
98	22007	111371
99	22180	110900
100	22357	110457
101	22612	110403
102	22858	110299
103	23009	109735
104	23231	109517
105	23478	109416
106	23713	109261
107	23947	109095
108	24180	108920
109	24442	108879
110	24686	108754
111	24916	108566
112	25148	108381
113	25389	108240
114	25498	107535
115	25756	107467
116	25983	107263
117	26250	107224
118	26463	106964
119	26725	106903
120	26966	106753
121	27192	106539
122	27440	106416
123	27671	106224
124	27909	106055
125	28137	105849
126	28240	105180
127	28470	104985
128	28705	104809
129	28946	104653
130	29184	104484
131	29411	104275
132	29631	104046
133	29868	103872
134	30091	103647
135	30347	103538
136	30578	103341
137	30815	103165
138	31024	102894
139	31127	102277
140	31355	102072
141	31581	101861
142	31795	101610
143	31997	101326
144	32229	101135
145	32478	100994
